"COMP";"REGIAO";"UF";CO_IBGE;"MUNICIPIO";"MOTIVO_DESABILITACAO";"CNES";"NOME_ESTABELECIMENTO";"RAZAO_SOCIAL";"TP_GESTAO";"CO_TIPO_UNIDADE";"DS_TIPO_UNIDADE";"NATUREZA_JURIDICA";"DESC_NATUREZA_JURIDICA";"NO_LOGRADOURO";"NU_ENDERECO";"NO_COMPLEMENTO";"NO_BAIRRO";"CO_CEP";"NU_TELEFONE";"NO_EMAIL";LEITOS_EXISTENTES;LEITOS_SUS;UTI_TOTAL_EXIST;UTI_TOTAL_SUS;UTI_ADULTO_EXIST;UTI_ADULTO_SUS;UTI_PEDIATRICO_EXIST;UTI_PEDIATRICO_SUS;UTI_NEONATAL_EXIST;UTI_NEONATAL_SUS;UTI_QUEIMADO_EXIST;UTI_QUEIMADO_SUS;UTI_CORONARIANA_EXIST;UTI_CORONARIANA_SUS
"202601";"NORDESTE";"PE";"260290";"CABO DE SANTO AGOSTINHO";;"0000027";"CASA DE SAUDE SANTA HELENA";"CASA DE SAUDE E MATERNIDADE SANTA HELENA LTDA";"M";"05";"HOSPITAL GERAL";"2062";"HOSPITAL_PRIVADO";"AVN PRESIDENTE GETULIO VARGAS";"428";;"CENTRO";"54505560";"(81)35210355";;"64";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"PE";"260290";"CABO DE SANTO AGOSTINHO";;"0000035";"HOSPITAL MENDO SAMPAIO";"PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO";"M";"05";"HOSPITAL GERAL";"1244";"HOSPITAL_PÚBLICO";"BR 101 SUL KM 33";"S/N";;"CHARNECA";"54535430";"(81)35210857";;"29";"29";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"PE";"260290";"CABO DE SANTO AGOSTINHO";;"0000094";"MATERNIDADE PADRE GERALDO LEITE BASTOS";"PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO";"M";"07";"HOSPITAL ESPECIALIZADO";"1244";"HOSPITAL_PÚBLICO";"BR 101 SUL KM 23";"S/N";;"PONTE DOS CARVALHOS";"54510000";"(81)35221626";;"18";"18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"PE";"260290";"CABO DE SANTO AGOSTINHO";;"0000183";"HOSPITAL SAMARITANO";"SOCIEDADE HOSPITALAR SAMARITANO LTDA";"M";"05";"HOSPITAL GERAL";"2062";"HOSPITAL_PRIVADO";"RUA SEVERINO BEZERRA MARQUES";"40";;"CENTRO";"54510460";"(81)35210109";;"54";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"PE";"260290";"CABO DE SANTO AGOSTINHO";;"0000221";"HOSPITAL SAO SEBASTIAO";"CASA DE SAUDE E MATERNIDADE SAO SEBASTIAO LTDA";"M";"05";"HOSPITAL GERAL";"2062";"HOSPITAL_PRIVADO";"AVN PRESIDENTE GETULIO VARGAS";"864";;"CENTRO";"54505560";"(81)35214150";"ADM@HOSPITALSAOSEBASTIAO.COM.BR";"52";"0";"10";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"PE";"261160";"RECIFE";;"0000396";"HOSPITAL DAS CLINICAS";"EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES HC UFPE";"E";"05";"HOSPITAL GERAL";"2011";"HOSPITAL_PRIVADO";"AV PROFESSOR MORAES REGO";"1235";;"CIDADE UNIVERSITARIA";"50740900";"(81)21263633";;"329";"319";"25";"20";"15";"10";"0";"0";"10";"10";"0";"0";"0";"0"
"202601";"NORDESTE";"PE";"261160";"RECIFE";;"0000418";"HOSPITAL AGAMENON MAGALHAES";"SECRETARIA DE SAUDE";"E";"05";"HOSPITAL GERAL";"1023";"HOSPITAL_PÚBLICO";"ESTRADA DO ARRAIAL";"2723";;"CASA AMARELA";"52051380";"(81)31841601";"claudia.miranda@saude.pe.gov.br";"380";"380";"59";"59";"44";"44";"0";"0";"15";"15";"0";"0";"0";"0"
"202601";"NORDESTE";"PE";"261160";"RECIFE";;"0000426";"HOSPITAL OTAVIO DE FREITAS";"SECRETARIA DE SAUDE";"E";"05";"HOSPITAL GERAL";"1023";"HOSPITAL_PÚBLICO";"RUA APRIGIO GUIMARAES";"S/N";;"TEJIPIO";"50920592";"(81)31828500";"DIRETORIAHOF@GMAIL.COM";"511";"502";"79";"70";"50";"50";"29";"20";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"PE";"261160";"RECIFE";;"0000434";"IMIP";"INSTITUTO DE MEDICINA INTEGRAL PROF FERNANDO FIGUEIRA";"D";"05";"HOSPITAL GERAL";"3999";"HOSPITAL_FILANTRÓPICO";"RUA DOS COELHOS";"300";;"BOA VISTA";"50070555";"(81)21224100";"imip@imip.org.br";"1048";"1046";"147";"145";"81";"81";"46";"46";"20";"18";"0";"0";"0";"0"
"202601";"NORDESTE";"PE";"261160";"RECIFE";;"0000477";"HOSPITAL OSWALDO CRUZ";"HOSPITAL UNIVERSITARIO OSWALDO CRUZ";"E";"05";"HOSPITAL GERAL";"1147";"HOSPITAL_PÚBLICO";"RUA ARNOBIO MARQUES";"310";;"SANTO AMARO";"50100130";"(81)31841200";"huoc@terra.com.br";"420";"420";"37";"37";"27";"27";"10";"10";"0";"0";"0";"0";"0";"0"
