categoria;marca;modelo;versao;motor;propulsao;transmissao;ar_condicionado;combustivel;consumo_cidade;consumo_estrada;consumo_cidade_2;consumo_estrada_2;consumo_eletrico_cidade;consumo_eletrico_estrada;consumo_vehp_flex_cidade;consumo_vehp_flex_estrada;consumo_energetico_mj_km;autonomia_eletrica_km;classificacao_pbe;classificacao_geral;selo_conpet
Sub Compacto;BYD;DOLPHIN MINI;GS EV;Elétrico;Elétrico;N.A.;S;E;;;;;58,6;41,9;;;0,41;280;A;A;-
Sub Compacto;BYD;DOLPHIN MINI;GS 5 EV;Elétrico;Elétrico;N.A.;S;E;;;;;58,6;41,9;;;0,41;280;A;A;-
Sub Compacto;BYD;DOLPHIN MINI;GL 5 EV;Elétrico;Elétrico;A-1;S;E;;;;;60,6;44,4;;;0,39;224;A;A;-
Sub Compacto;FIAT;500E;ICON;ELÉTRICO;Elétrico;A-1;S;E;;;;;47,3;40,4;;;0,46;227;C;A;-
Sub Compacto;FIAT;MOBI;TREKKING;1.0-6V;Combustão;M-5;S;F;9,8;10,6;14;15,1;;;;;1,46;;E;B;-
Sub Compacto;FIAT;MOBI;LIKE;1.0-6V;Combustão;M-5;S;F;10,1;11,1;14,5;15,8;;;;;1,4;;E;B;-
Sub Compacto;JAC;e-JS1;e-JS1;Elétrico;Elétrico;A-1;S;E;;;;;46,6;35;;;0,5;181;E;A;-
Sub Compacto;JAC;e-JS1;e-JS1 EXT;Elétrico;Elétrico;A-1;S;E;;;;;46,6;35;;;0,5;181;E;A;-
Sub Compacto;Renault;E-KWID;INTENS;Elétrico;Elétrico;A;S;E;;;;;52,7;39,6;;;0,44;185;B;A;-
Compacto;FIAT;ARGO;1.0;1.0-6V;Combustão;M-5;S;F;9,4;10,4;13,6;14,5;;;;;1,52;;C;B;-
Compacto;FIAT;ARGO;DRIVE 1.0;1.0-6V;Combustão;M-5;S;F;9,4;10,4;13,6;14,5;;;;;1,52;;C;B;-
Compacto;FIAT;ARGO;DRIVE 1.3 AT;1.3-8V;Combustão;CVT-7;S;F;9;10,3;12,8;14,3;;;;;1,58;;C;C;-
Compacto;Hyundai;HB20;Sense;1.0-12V;Combustão;M-5;S;F;9,9;10,7;13,3;15,4;;;;;1,48;;B;B;-
Compacto;Hyundai;HB20;Comfort;1.0-12V;Combustão;M-5;S;F;9,9;10,7;13,3;15,4;;;;;1,48;;B;B;-
Compacto;Hyundai;HB20;Limited;1.0-12V;Combustão;M-5;S;F;9,9;10,7;13,3;15,4;;;;;1,48;;B;B;-
Compacto;Hyundai;HB20;Limited;1.0-12V T;Combustão;A-6;S;F;9,2;10,2;13,2;14,7;;;;;1,54;;C;C;-
Compacto;Hyundai;HB20;Platinum;1.0-12V T;Combustão;A-6;S;F;9,2;10,2;13,2;14,7;;;;;1,54;;C;C;-
Compacto;MINI;Cooper;E;Elétrico;Elétrico;A;S;E;;;;;48;39,7;;;0,46;239;A;A;-
Compacto;MINI;Cooper;SE;Elétrico;Elétrico;A;S;E;;;;;46,1;38,4;;;0,48;312;A;A;-
Compacto;MINI;JCW;3P;2.0 - 16V;Combustão;A-7;S;G;;;10,8;13,9;;;;;1,81;;E;C;-
Compacto;MINI;Cooper;S CABRIO;2.0 - 16V;Combustão;A-7;S;G;;;11,2;14,6;;;;;1,73;;D;C;-
Compacto;MINI;JCW;CABRIO;2.0 - 16V;Combustão;A-7;S;G;;;10,1;12,8;;;;;1,95;;E;C;-
Compacto;MINI;JCW-E;3P;Elétrico;Elétrico;A;S;E;;;;;43,8;40,2;;;0,48;306;A;A;-
Compacto;MINI;Cooper;S 3P EXCLUSIVE;2.0 - 16V;Combustão;A-7;S;G;;;11,5;14,1;;;;;1,72;;D;C;-
Compacto;MINI;Cooper;S 3P SPORT;2.0 - 16V;Combustão;A-7;S;G;;;11,5;14,1;;;;;1,72;;D;C;-
Compacto;MINI;Cooper;S 3P TOP;2.0 - 16V;Combustão;A-7;S;G;;;11,5;14,1;;;;;1,72;;D;C;-
Compacto;PEUGEOT;208;ACTIVE MT;1.0-6V;Combustão;M-5;S;F;9,5;10,8;13,6;15,3;;;;;1,49;;B;B;-
Compacto;PEUGEOT;208;ACTIV T200;1.0T-12V;Combustão;CVT-7;S;F;8,8;10,1;12,6;14,3;;;;;1,6;;C;C;-
Compacto;PEUGEOT;208;STYLE MT;1.0-6V;Combustão;M-5;S;F;9,5;10,8;13,6;15,3;;;;;1,49;;B;B;-
Compacto;PEUGEOT;208;ALLUR T200;1.0T-12V;Combustão;CVT-7;S;F;8,3;9,7;12;13,7;;;;;1,69;;D;C;-
Compacto;PEUGEOT;208;GT T200;1.0T-12V;Combustão;CVT-7;S;F;8,3;9,7;12;13,7;;;;;1,69;;D;C;-
Compacto;PEUGEOT;208;GT HYBRID;1.0T-12V;Híbrido;CVT-7;S;F;9,1;9,6;13;13,8;;;;;1,6;;C;C;-
