id;hospital;endereco;latitude;longitude;geocode_status;geocode_provider;geocode_accuracy;geocode_error_message;status_code;observacao;place_id;osm_type;osm_id;display_name;importance;feature_class;feature_type;address_city;address_state;address_country;query_used;api_response
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;RUA ANTONIO CARLOS, 122 - CONSOLACAO, SAO PAULO, SP;-23.5573928;-46.6562429;ok;nominatim;high;;0;;8973340;way;423038991;Hospital Municipal Bela Vista, 122, Rua Antônio Carlos, Bela Vista, Consolação, São Paulo, Região Sudeste, 01309-010, Brasil;7.861829556720863e-05;;hospital;São Paulo;São Paulo;Brasil;RUA ANTONIO CARLOS, 122 - CONSOLACAO, SAO PAULO, SP, São Paulo, SP, Brasil;"{""place_id"": 8973340, ""licence"": ""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 423038991, ""lat"": ""-23.5573928"", ""lon"": ""-46.6562429"", ""category"": ""building"", ""type"": ""hospital"", ""place_rank"": 30, ""importance"": 7.861829556720863e-05, ""addresstype"": ""building"", ""name"": ""Hospital Municipal Bela Vista"", ""display_name"": ""Hospital Municipal Bela Vista, 122, Rua Antônio Carlos, Bela Vista, Consolação, São Paulo, Região Sudeste, 01309-010, Brasil"", ""address"": {""building"": ""Hospital Municipal Bela Vista"", ""house_number"": ""122"", ""road"": ""Rua Antônio Carlos"", ""suburb"": ""Bela Vista"", ""city_district"": ""Consolação"", ""city"": ""São Paulo"", ""state"": ""São Paulo"", ""ISO3166-2-lvl4"": ""BR-SP"", ""region"": ""Região Sudeste"", ""postcode"": ""01309-010"", ""country"": ""Brasil"", ""country_code"": ""br""}, ""boundingbox"": [""-23.5575859"", ""-23.5572790"", ""-46.6563559"", ""-46.6561506""]}"
2;HOSPITAL MUNICIPAL BRASILANDIA;MICHIHISA MURATA, 150 - JARDIM MARISTELA, SAO PAULO, SP;-23.4765440;-46.6980006;ok;nominatim;high;;0;;8617997;way;837675272;Hospital Doutor Adib Jatene, Avenida Michihisa Murata, Parque Monteiro Soares, Freguesia do Ó, São Paulo, Região Sudeste, 02834-090, Brasil;7.861829556720863e-05;;hospital;São Paulo;São Paulo;Brasil;HOSPITAL MUNICIPAL BRASILANDIA, MICHIHISA MURATA, 150 - JARDIM MARISTELA, SAO PAULO, SP, São Paulo, SP, Brasil;"{""place_id"": 8617997, ""licence"": ""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 837675272, ""lat"": ""-23.4765440"", ""lon"": ""-46.6980006"", ""category"": ""amenity"", ""type"": ""hospital"", ""place_rank"": 30, ""importance"": 7.861829556720863e-05, ""addresstype"": ""amenity"", ""name"": ""Hospital Doutor Adib Jatene"", ""display_name"": ""Hospital Doutor Adib Jatene, Avenida Michihisa Murata, Parque Monteiro Soares, Freguesia do Ó, São Paulo, Região Sudeste, 02834-090, Brasil"", ""address"": {""amenity"": ""Hospital Doutor Adib Jatene"", ""road"": ""Avenida Michihisa Murata"", ""suburb"": ""Parque Monteiro Soares"", ""city"": ""São Paulo"", ""state"": ""São Paulo"", ""ISO3166-2-lvl4"": ""BR-SP"", ""region"": ""Região Sudeste"", ""postcode"": ""02834-090"", ""country"": ""Brasil"", ""country_code"": ""br""}, ""boundingbox"": [""-23.4773669"", ""-23.4757666"", ""-46.6989844"", ""-46.6971943""]}"
3;HOSPITAL MUNICIPAL GUARAPIRANGA;ESTRADA DA RIVIERA, 4742, ZONA SUL - RIVIERA PAULISTA, SAO PAULO, SP;-23.6911689;-46.7517858;ok;nominatim;low;;200;;8983011;way;249884928;Estrada da Riviera, Jardim Ângela, Jardim Copacabana, São Paulo, Região Sudeste, 04916-000, Brasil;0.05341195162890055;;tertiary;São Paulo;São Paulo;Brasil;ESTRADA DA RIVIERA, 4742 - 04916000;"{""place_id"": 8983011, ""licence"": ""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 249884928, ""lat"": ""-23.6911689"", ""lon"": ""-46.7517858"", ""category"": ""highway"", ""type"": ""tertiary"", ""place_rank"": 26, ""importance"": 0.05341195162890055, ""addresstype"": ""road"", ""name"": ""Estrada da Riviera"", ""display_name"": ""Estrada da Riviera, Jardim Ângela, Jardim Copacabana, São Paulo, Região Sudeste, 04916-000, Brasil"", ""address"": {""road"": ""Estrada da Riviera"", ""suburb"": ""Jardim Ângela"", ""village"": ""Jardim Copacabana"", ""city"": ""São Paulo"", ""state"": ""São Paulo"", ""ISO3166-2-lvl4"": ""BR-SP"", ""region"": ""Região Sudeste"", ""postcode"": ""04916-000"", ""country"": ""Brasil"", ""country_code"": ""br""}, ""boundingbox"": [""-23.6944196"", ""-23.6867482"", ""-46.7556024"", ""-46.7515804""]}"
4;INSTITUTO DE INFECTOLOGIA EMILIO RIBAS;DR ARNALDO, 165 - SUMARE, SAO PAULO, SP;-23.5470783;-46.6812257;ok;nominatim;low;;0;;8821311;way;16238438;Avenida Doutor Arnaldo, Sumaré, Perdizes, São Paulo, Região Sudeste, 05437-000, Brasil;0.05341195162890055;;secondary;São Paulo;São Paulo;Brasil;DR ARNALDO, 165 - SUMARE, SAO PAULO, SP, São Paulo, SP, Brasil;"{""place_id"": 8821311, ""licence"": ""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 16238438, ""lat"": ""-23.5470783"", ""lon"": ""-46.6812257"", ""category"": ""highway"", ""type"": ""secondary"", ""place_rank"": 26, ""importance"": 0.05341195162890055, ""addresstype"": ""road"", ""name"": ""Avenida Doutor Arnaldo"", ""display_name"": ""Avenida Doutor Arnaldo, Sumaré, Perdizes, São Paulo, Região Sudeste, 05437-000, Brasil"", ""address"": {""road"": ""Avenida Doutor Arnaldo"", ""suburb"": ""Sumaré"", ""city_district"": ""Perdizes"", ""city"": ""São Paulo"", ""state"": ""São Paulo"", ""ISO3166-2-lvl4"": ""BR-SP"", ""region"": ""Região Sudeste"", ""postcode"": ""05437-000"", ""country"": ""Brasil"", ""country_code"": ""br""}, ""boundingbox"": [""-23.5492843"", ""-23.5450449"", ""-46.6824698"", ""-46.6803252""]}"
5;HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;AVENIDA IBIRAPUERA, 981 - IBIRAPUERA, SAO PAULO, SP;-23.5966175;-46.6539691;ok;nominatim;high;;200;;8787229;way;125450941;Hospital do Servidor Público Estadual, 981, Avenida Ibirapuera, Indianópolis, Moema, São Paulo, Região Sudeste, 04029-000, Brasil;7.861829556720863e-05;;hospital;São Paulo;São Paulo;Brasil;AVENIDA IBIRAPUERA, 981 - 04029000;"{""place_id"": 8787229, ""licence"": ""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 125450941, ""lat"": ""-23.5966175"", ""lon"": ""-46.6539691"", ""category"": ""amenity"", ""type"": ""hospital"", ""place_rank"": 30, ""importance"": 7.861829556720863e-05, ""addresstype"": ""amenity"", ""name"": ""Hospital do Servidor Público Estadual"", ""display_name"": ""Hospital do Servidor Público Estadual, 981, Avenida Ibirapuera, Indianópolis, Moema, São Paulo, Região Sudeste, 04029-000, Brasil"", ""address"": {""amenity"": ""Hospital do Servidor Público Estadual"", ""house_number"": ""981"", ""road"": ""Avenida Ibirapuera"", ""suburb"": ""Indianópolis"", ""city"": ""São Paulo"", ""state"": ""São Paulo"", ""ISO3166-2-lvl4"": ""BR-SP"", ""region"": ""Região Sudeste"", ""postcode"": ""04029-000"", ""country"": ""Brasil"", ""country_code"": ""br""}, ""boundingbox"": [""-23.5974530"", ""-23.5958992"", ""-46.6557651"", ""-46.6524271""]}"
6;HOSPITAL MATERNIDADE INTERLAGOS;RUA LEONOR ALVIM, 211 - JD LEBLON, SAO PAULO, SP;-23.7069613;-46.7021968;ok;nominatim;low;;200;;8939023;way;942669917;Rua Leonor Alvim, Jardim Cruzeiro, Cidade Dutra, São Paulo, Região Sudeste, 04806-000, Brasil;0.05341195162890055;;residential;São Paulo;São Paulo;Brasil;RUA LEONOR ALVIM, 211 - 04802190;"{""place_id"": 8939023, ""licence"": ""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 942669917, ""lat"": ""-23.7069613"", ""lon"": ""-46.7021968"", ""category"": ""highway"", ""type"": ""residential"", ""place_rank"": 26, ""importance"": 0.05341195162890055, ""addresstype"": ""road"", ""name"": ""Rua Leonor Alvim"", ""display_name"": ""Rua Leonor Alvim, Jardim Cruzeiro, Cidade Dutra, São Paulo, Região Sudeste, 04806-000, Brasil"", ""address"": {""road"": ""Rua Leonor Alvim"", ""quarter"": ""Jardim Cruzeiro"", ""suburb"": ""Cidade Dutra"", ""city"": ""São Paulo"", ""state"": ""São Paulo"", ""ISO3166-2-lvl4"": ""BR-SP"", ""region"": ""Região Sudeste"", ""postcode"": ""04806-000"", ""country"": ""Brasil"", ""country_code"": ""br""}, ""boundingbox"": [""-23.7073123"", ""-23.7067857"", ""-46.7028466"", ""-46.7016182""]}"
7;HOSPITAL GERAL DE PEDREIRA;RUA JOAO FRANCISCO DE MOURA, 251 - VILA CAMPO GRANDE, SAO PAULO, SP;-23.6808407;-46.6783317;ok;nominatim;low;;0;;9108402;way;84759928;Rua João Francisco de Moura, Campinha, Campo Grande, Vila Arriete, São Paulo, Região Sudeste, 04455-000, Brasil;0.05341195162890055;;residential;São Paulo;São Paulo;Brasil;RUA JOAO FRANCISCO DE MOURA, 251 - VILA CAMPO GRANDE, SAO PAULO, SP, São Paulo, SP, Brasil;"{""place_id"": 9108402, ""licence"": ""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 84759928, ""lat"": ""-23.6808407"", ""lon"": ""-46.6783317"", ""category"": ""highway"", ""type"": ""residential"", ""place_rank"": 26, ""importance"": 0.05341195162890055, ""addresstype"": ""road"", ""name"": ""Rua João Francisco de Moura"", ""display_name"": ""Rua João Francisco de Moura, Campinha, Campo Grande, Vila Arriete, São Paulo, Região Sudeste, 04455-000, Brasil"", ""address"": {""road"": ""Rua João Francisco de Moura"", ""quarter"": ""Campinha"", ""suburb"": ""Vila Arriete"", ""city"": ""São Paulo"", ""state"": ""São Paulo"", ""ISO3166-2-lvl4"": ""BR-SP"", ""region"": ""Região Sudeste"", ""postcode"": ""04455-000"", ""country"": ""Brasil"", ""country_code"": ""br""}, ""boundingbox"": [""-23.6816848"", ""-23.6801011"", ""-46.6793581"", ""-46.6774810""]}"
8;HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I;CON XAVIER, 276 - V HELIOPOLIS, SAO PAULO, SP;-23.6071150;-46.5952530;ok;nominatim;low;;0;;8932081;node;7998194012;Rua Côn. Xavier, Rua Cônego Xavier, Nova Heliópolis, Vila Bandeirantes, Sacomã, São Paulo, Região Sudeste, 04231-004, Brasil;7.861829556720863e-05;;bus_stop;São Paulo;São Paulo;Brasil;CON XAVIER, 276 - V HELIOPOLIS, SAO PAULO, SP, São Paulo, SP, Brasil;"{""place_id"": 8932081, ""licence"": ""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""osm_type"": ""node"", ""osm_id"": 7998194012, ""lat"": ""-23.6071150"", ""lon"": ""-46.5952530"", ""category"": ""highway"", ""type"": ""bus_stop"", ""place_rank"": 30, ""importance"": 7.861829556720863e-05, ""addresstype"": ""highway"", ""name"": ""Rua Côn. Xavier"", ""display_name"": ""Rua Côn. Xavier, Rua Cônego Xavier, Nova Heliópolis, Vila Bandeirantes, Sacomã, São Paulo, Região Sudeste, 04231-004, Brasil"", ""address"": {""highway"": ""Rua Côn. Xavier"", ""road"": ""Rua Cônego Xavier"", ""residential"": ""Nova Heliópolis"", ""quarter"": ""Vila Bandeirantes"", ""suburb"": ""Sacomã"", ""city_district"": ""Sacomã"", ""city"": ""São Paulo"", ""state"": ""São Paulo"", ""ISO3166-2-lvl4"": ""BR-SP"", ""region"": ""Região Sudeste"", ""postcode"": ""04231-004"", ""country"": ""Brasil"", ""country_code"": ""br""}, ""boundingbox"": [""-23.6071650"", ""-23.6070650"", ""-46.5953030"", ""-46.5952030""]}"
9;CAISM DR DAVID CAPISTRANO DA COSTA FILHO DA AGUA FUNDA SP;AVENIDA MIGUEL STEFNO, 3030 - AGUA FUNDA, SAO PAULO, SP;;;not_found;nominatim;not_found;Resposta 200 OK mas sem coordenadas;0;Nenhuma das queries retornou coordenadas válidas;;;;;;;;;;;;
10;HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO;RUA DR SERAFICO DE ASSIS CARVALHO, 34 - JARDIM GUEDALA, SAO PAULO, SP;-23.5929419;-46.7109151;ok;nominatim;high;;200;;8937090;way;1183565099;Hospital Infantil Darcy Vargas, 34, Rua Doutor Serafico de Assis Carvalho, Cidade Jardim, Morumbi, São Paulo, Região Sudeste, 05615-900, Brasil;7.861829556720863e-05;;hospital;São Paulo;São Paulo;Brasil;RUA DR SERAFICO DE ASSIS CARVALHO, 34 - 04024002;"{""place_id"": 8937090, ""licence"": ""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"", ""osm_type"": ""way"", ""osm_id"": 1183565099, ""lat"": ""-23.5929419"", ""lon"": ""-46.7109151"", ""category"": ""amenity"", ""type"": ""hospital"", ""place_rank"": 30, ""importance"": 7.861829556720863e-05, ""addresstype"": ""amenity"", ""name"": ""Hospital Infantil Darcy Vargas"", ""display_name"": ""Hospital Infantil Darcy Vargas, 34, Rua Doutor Serafico de Assis Carvalho, Cidade Jardim, Morumbi, São Paulo, Região Sudeste, 05615-900, Brasil"", ""address"": {""amenity"": ""Hospital Infantil Darcy Vargas"", ""house_number"": ""34"", ""road"": ""Rua Doutor Serafico de Assis Carvalho"", ""suburb"": ""Cidade Jardim"", ""city"": ""São Paulo"", ""state"": ""São Paulo"", ""ISO3166-2-lvl4"": ""BR-SP"", ""region"": ""Região Sudeste"", ""postcode"": ""05615-900"", ""country"": ""Brasil"", ""country_code"": ""br""}, ""boundingbox"": [""-23.5934524"", ""-23.5920338"", ""-46.7116343"", ""-46.7102493""]}"
