origin_id;origin_hospital;origin_bairro;destination_id;destination_hospital;destination_bairro;distance_meters;distance_km;duration_seconds;duration_minutes;status;error_message
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;0;0.0;0;0.0;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;14160;14.16;1481;24.7;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;20920;20.92;1768;29.47;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;4;INSTITUTO DE INFECTOLOGIA EMILIO RIBAS;SUMARE;3140;3.14;350;5.84;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;5;HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;IBIRAPUERA;6270;6.27;650;10.83;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;6;HOSPITAL MATERNIDADE INTERLAGOS;JD LEBLON;22210;22.21;1903;31.72;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;7;HOSPITAL GERAL DE PEDREIRA;VILA CAMPO GRANDE;18030;18.03;1843;30.72;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;8;HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I;V HELIOPOLIS;11740;11.74;1260;21.0;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;10;HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO;JARDIM GUEDALA;7640;7.64;867;14.45;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;11;HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI;VILA ANTONIO;14160;14.16;1207;20.13;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;12;HOSPITAL UNIVERSITARIO DA USP SAO PAULO;BUTANTA;10760;10.76;1311;21.87;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;13;CAISM PHILIPPE PINEL SAO PAULO;PIRITUBA;15050;15.05;1518;25.3;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;14;HOSPITAL GERAL HENRIQUE ALTIMEYER DE VILA ALPINA;VILA ALPINA;13320;13.32;1446;24.11;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;16;HOSPITAL GERAL DE SAO MATEUS SAO PAULO;SAO MATEUS;26120;26.12;2176;36.28;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;17;UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP;IPIRANGA;8070;8.07;971;16.19;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;18;CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO;SANTANA;11660;11.66;1303;21.73;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;19;HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO;ITAIM PAULISTA;38740;38.74;2459;40.99;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;20;HOSP MUN PROF DR WALDOMIRO DE PAULA;ITAQUERA;35980;35.98;2402;40.04;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;21;HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP;PARQUE DAS NACOES;22310;22.31;1995;33.25;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;22;HOSPITAL E MATERNIDADE LEONOR MENDES DE BARROS SAO PAULO;BELENZINHO;9860;9.86;1136;18.95;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;23;CENTRO DE REFERENCIA E TREINAMENTO DST AIDS SAO PAULO;VILA MARIANA;6010;6.01;726;12.1;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;24;HOSPITAL MILITAR DE AREA DE SAO PAULO;CAMBUCI;6300;6.3;808;13.47;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;25;CENTRO DE REFERENCIA DA SAUDE DA MULHER;CAMPOS ELISEOS;3940;3.94;493;8.23;ok;
