marca;modelo;versao;combustivel;consumo_cidade;consumo_cidade_2;consumo_estrada;consumo_estrada_2;classificacao_pbe;classificacao_geral
FIAT;MOBI;TREKKING;F;9.8;14.0;10.6;15.1;E;B
FIAT;MOBI;LIKE;F;10.1;14.5;11.1;15.8;E;B
FIAT;ARGO;1.0;F;9.4;13.6;10.4;14.5;C;B
FIAT;ARGO;DRIVE 1.0;F;9.4;13.6;10.4;14.5;C;B
FIAT;ARGO;DRIVE 1.3 AT;F;9.0;12.8;10.3;14.3;C;C
Hyundai;HB20;Sense;F;9.9;13.3;10.7;15.4;B;B
Hyundai;HB20;Comfort;F;9.9;13.3;10.7;15.4;B;B
Hyundai;HB20;Limited;F;9.9;13.3;10.7;15.4;B;B
Hyundai;HB20;Limited;F;9.2;13.2;10.2;14.7;C;C
Hyundai;HB20;Platinum;F;9.2;13.2;10.2;14.7;C;C
PEUGEOT;208;ACTIVE MT;F;9.5;13.6;10.8;15.3;B;B
PEUGEOT;208;ACTIV T200;F;8.8;12.6;10.1;14.3;C;C
PEUGEOT;208;STYLE MT;F;9.5;13.6;10.8;15.3;B;B
PEUGEOT;208;ALLUR T200;F;8.3;12.0;9.7;13.7;D;C
PEUGEOT;208;GT T200;F;8.3;12.0;9.7;13.7;D;C
PEUGEOT;208;GT HYBRID;F;9.1;13.0;9.6;13.8;C;C
CHEVROLET;ONIX;LTZ;F;8.6;12.1;10.9;15.3;C;C
CHEVROLET;ONIX;PREMIER;F;8.6;12.1;10.9;15.3;C;C
CHEVROLET;ONIX;RS;F;8.2;11.8;10.1;14.5;C;C
CHEVROLET;ONIX;MT;F;9.8;13.7;12.4;17.7;A;B
CHEVROLET;ONIX;LT;F;8.6;12.1;10.9;15.3;C;C
CHEVROLET;ONIX;MT;F;9.5;13.5;11.3;16.3;B;B
CHEVROLET;ONIX;AT;F;8.6;12.1;10.9;15.3;C;C
CHEVROLET;ONIX PLUS;LTZ;F;8.5;12.2;11.2;16.0;C;C
CHEVROLET;ONIX PLUS;PREMIER;F;8.5;12.2;11.2;16.0;C;C
CHEVROLET;ONIX PLUS;MT;F;9.2;13.3;12.3;16.8;B;B
CHEVROLET;ONIX PLUS;LT;F;8.5;12.2;11.2;16.0;C;C
CHEVROLET;ONIX PLUS;MT;F;9.8;13.9;12.1;17.1;A;B
CHEVROLET;ONIX PLUS;AT;F;8.5;12.2;11.2;16.0;C;C
FIAT;CRONOS;1.0;F;9.7;13.4;11.2;15.9;B;B
FIAT;CRONOS;DRIVE 1.0;F;9.7;13.4;11.2;15.9;B;B
FIAT;CRONOS;DRIVE1.3AT;F;8.9;12.6;10.7;14.6;C;C
FIAT;CRONOS;PREC 1.3AT;F;8.9;12.6;10.7;14.6;C;C
FIAT;CRONOS;DRIVE 1.3;F;9.2;13.3;11.0;15.7;B;B
HONDA;CITY;LX;F;9.3;12.8;10.4;15.5;C;C
HONDA;CITY;EX;F;9.3;12.8;10.4;15.5;C;C
HONDA;CITY;EXL;F;9.3;12.8;10.4;15.5;C;C
HONDA;CITY;TOURING;F;9.3;12.8;10.4;15.5;C;C
HONDA;CITY HATCH;LX;F;9.2;13.2;10.5;15.0;C;C
HONDA;CITY HATCH;EX;F;9.2;13.2;10.5;15.0;C;C
HONDA;CITY HATCH;EXL;F;9.2;13.2;10.5;15.0;C;C
HONDA;CITY HATCH;TOURING;F;9.2;13.2;10.5;15.0;C;C
HONDA;CITY HATCH;TOURING SPORT;F;9.2;13.2;10.5;15.0;C;C
HONDA;HR-V;EX;F;8.8;12.5;9.9;13.9;C;C
HONDA;HR-V;EXL;F;8.8;12.5;9.9;13.9;C;C
HONDA;HR-V;ADVANCE;F;8.0;11.3;9.2;13.0;D;C
HONDA;HR-V;TOURING;F;8.0;11.3;9.2;13.0;D;C
HONDA;HR-V (mod. 26);ADVANCE;F;8.1;11.5;9.1;12.9;D;C
HONDA;HR-V (mod. 26);TOURING;F;8.1;11.5;9.1;12.9;D;C
Hyundai;HB20S;Comfort;F;9.7;13.4;10.9;15.4;B;B
Hyundai;HB20S;Limited;F;9.7;13.4;10.9;15.4;B;B
Hyundai;HB20S;Limited;F;9.2;13.0;10.7;15.2;C;C
Hyundai;HB20S;Platinum;F;9.2;13.0;10.7;15.2;C;C
Hyundai;I20;Comfort;F;9.7;13.9;10.5;15.0;B;B
Hyundai;I20;Limited;F;9.7;13.9;10.5;15.0;B;B
Hyundai;I20;Sense;F;9.7;13.9;10.5;15.0;B;B
Hyundai;I20;Comfort;F;9.6;13.7;10.2;14.8;B;B
Hyundai;I20;Limited;F;9.6;13.7;10.2;14.8;B;B
Hyundai;I20;Sense;F;9.6;13.7;10.2;14.8;B;B
Nissan;Versa;SENSE CVT;F;7.9;11.5;10.5;15.0;D;C
Nissan;Versa;ADVNC CVT;F;7.9;11.5;10.5;15.0;D;C
Nissan;Versa;EXCL CVT;F;7.9;11.5;10.5;15.0;D;C
Nissan;Versa;SR CVT;F;7.9;11.5;10.5;15.0;D;C
VW;VIRTUS;COMFORTLINE 200TSI AUT;F;8.3;12.1;10.2;14.7;C;C
VW;VIRTUS;HIGHLINE 200TSI AUT;F;8.3;12.1;10.2;14.7;C;C
VW;VIRTUS;TSI AUTOMÁTICO;F;8.5;12.2;10.4;14.9;C;C
VW;VIRTUS;TSI MECÂNICO;F;9.2;13.2;11.2;15.8;B;B
VW;VIRTUS;SENSE TSI MECÂNICO;F;9.2;13.2;11.2;15.8;B;B
VW;VIRTUS;EXCLUSIVE 250TSI AUT;F;8.1;11.7;9.9;14.0;D;C
VW;POLO;COMFORTLINE TSI AUT;F;9.0;13.1;11.1;16.1;B;B
VW;POLO;SENSE TSI AUTOMÁTICO;F;9.0;13.1;11.1;16.1;B;B
VW;POLO;HIGHLINE TSI AUTOMÁTICO;F;8.8;12.5;10.7;15.2;C;C
VW;POLO;MPI;F;9.3;13.5;10.9;15.7;B;B
VW;TERA;MPI;F;9.3;13.4;10.4;15.0;B;B
BYD;ATTO 2;GS DM FLEX;F;11.8;15.5;10.7;13.9;A;A
BYD;ATTO 2;GL DM FLEX;F;11.7;15.8;10.5;13.5;A;A
TOYOTA;COROLLA;ALTIS HV;F;12.5;17.5;10.7;15.2;B;B
TOYOTA;COROLLA;APREMIUMH;F;12.5;17.5;10.7;15.2;B;B
TOYOTA;COROLLA;GLI HEV;F;12.5;17.5;10.7;15.2;B;B
TOYOTA;COROLLA;COROLLA ALTIS 20;F;8.3;11.6;10.1;14.6;C;C
TOYOTA;COROLLA;COROLLA GLI 20;F;8.3;11.6;10.1;14.6;C;C
TOYOTA;COROLLA;COROLLA GRS;F;8.3;11.6;10.1;14.6;C;C
TOYOTA;COROLLA;COROLLA XEI 20;F;8.3;11.6;10.1;14.6;C;C
TOYOTA;COROLLA;COROLLA GLI;F;8.3;11.6;10.1;14.6;C;C
TOYOTA;COROLLA CROSS;XRV HYBRID;F;11.6;16.6;9.9;14.0;B;B
TOYOTA;COROLLA CROSS;XRX HYBRID;F;11.6;16.6;9.9;14.0;B;B
TOYOTA;COROLLA CROSS;XR 20;F;7.9;11.5;9.2;13.1;C;C
TOYOTA;COROLLA CROSS;XRE 20;F;7.9;11.5;9.2;13.1;C;C
TOYOTA;COROLLA CROSS;XRX 20;F;7.9;11.5;9.2;13.1;C;C
TOYOTA;COROLLA CROSS;GRS;F;7.9;11.5;9.2;13.1;C;C
BMW;320i;M Sport Flex;F;7.4;10.5;9.0;13.1;C;C
BMW;320i;Sport GP Flex;F;7.6;10.9;9.2;13.3;C;C
BMW;320i;GP Flex;F;7.6;10.9;9.2;13.3;C;C
BMW;320i;Active Flex;F;7.1;10.0;8.6;12.3;C;C
BYD;SONG PRO;GL DM FLEX;F;12.1;16.0;10.7;13.9;A;A
BYD;SONG PRO;GS DM FLEX;F;11.7;15.9;10.5;13.5;A;A
CAOA CHERY;TIGGO 5X;PRO HA;F;8.1;11.4;8.5;11.8;C;C
CAOA CHERY;TIGGO 5X;PRO;F;6.6;10.0;8.0;11.7;E;D
CAOA CHERY;TIGGO 5X;SPORT;F;6.6;10.0;8.0;11.7;E;D
CHEVROLET;TRACKER;LT;F;8.1;11.5;9.9;13.8;B;C
CHEVROLET;TRACKER;LTZ;F;8.1;11.5;9.9;13.8;B;C
CHEVROLET;TRACKER;AT;F;8.1;11.5;9.9;13.8;B;C
CHEVROLET;TRACKER;LT;F;8.1;11.5;9.9;13.8;B;C
CHEVROLET;TRACKER;LTZ;F;8.1;11.5;9.9;13.8;B;C
CHEVROLET;TRACKER;RS;F;7.6;11.0;9.7;13.7;C;C
CHEVROLET;TRACKER;PREMIER;F;7.6;11.0;9.7;13.7;C;C
CHEVROLET;TRACKER;PREMIER;F;7.6;11.0;9.7;13.7;C;C
CHEVROLET;SONIC;10T AT PR;F;8.4;12.1;10.4;14.8;A;C
CHEVROLET;SONIC;10T AT RS;F;8.4;12.1;10.4;14.8;A;C
CITROEN;BASALT;FEEL 1.0;F;9.2;13.2;10.1;14.3;A;C
CITROEN;BASALT;LIVE 1.0;F;9.2;13.2;10.1;14.3;A;C
CITROEN;BASALT;SHINE T200;F;8.4;12.1;9.6;13.7;B;C
CITROEN;BASALT;FL PKT200;F;8.4;12.1;9.6;13.7;B;C
CITROEN;BASALT;T200 DARK;F;8.4;12.1;9.6;13.7;B;C
CITROEN;C3;FEEL 1.0;F;9.3;13.2;10.3;14.5;A;C
CITROEN;C3;FEEL PLUS 1.0;F;9.5;13.4;10.4;14.6;A;B
CITROEN;C3;LIVE 1.0;F;9.3;13.2;10.3;14.5;A;C
CITROEN;C3;LIVE GO 1.0;F;9.5;13.4;10.4;14.6;A;B
CITROEN;C3;LIVE PK 1.0;F;9.3;13.2;10.3;14.5;A;C
CITROEN;C3;LIVE PLUS 1.0;F;9.5;13.4;10.4;14.6;A;B
CITROEN;C3;XTR 1.0;F;9.5;13.0;10.3;14.2;A;C
CITROEN;C3;YOU 1.0T CVT;F;8.1;11.5;8.9;12.9;C;C
CITROEN;AIRCROSS;XTR 7;F;7.6;11.0;8.9;12.6;C;C
CITROEN;AIRCROSS;XTR;F;7.6;11.0;8.9;12.6;C;C
CITROEN;AIRCROSS;FL;F;7.9;11.2;9.1;13.0;C;C
CITROEN;AIRCROSS;7 FL;F;7.9;11.2;9.1;13.0;C;C
CITROEN;AIRCROSS;FL PK;F;7.9;11.2;9.1;13.0;C;C
CITROEN;AIRCROSS;7 FL PK;F;7.9;11.2;9.1;13.0;C;C
CITROEN;AIRCROSS;SH;F;7.9;11.2;9.1;13.0;C;C
CITROEN;AIRCROSS;7 SH;F;7.9;11.2;9.1;13.0;C;C
FIAT;ARGO;TREKKING 1.3;F;8.9;12.9;10.2;14.7;A;C
FIAT;ARGO;ENDUR 1.3 MT;F;8.9;12.9;10.2;14.7;A;C
FIAT;ARGO;TREKKING 1.3AT;F;9.0;12.8;10.3;14.3;A;C
FIAT;FASTBACK;TURBO 200;F;8.5;12.1;10.1;14.3;A;C
FIAT;FASTBACK;AUDACE HYB;F;8.9;12.6;9.8;13.9;A;C
FIAT;FASTBACK;IMPETUS HY;F;8.9;12.6;9.8;13.9;A;C
FIAT;FASTBACK;ABARTH 270;F;7.3;10.8;9.1;12.9;D;C
FIAT;FASTBACK;LIMITED ED;F;7.8;11.3;9.8;13.6;B;C
FIAT;PULSE;DRIVE MT;F;9.0;12.6;10.3;14.5;A;C
FIAT;PULSE;DRIVE AT;F;8.9;13.0;10.5;14.7;A;C
FIAT;PULSE;AUDACE HYB;F;9.3;13.4;10.2;14.4;A;C
FIAT;PULSE;DRIVE TF 200;F;8.6;12.3;10.0;14.4;A;C
FIAT;PULSE;IMPETUS HYB;F;9.3;13.4;10.2;14.4;A;C
FIAT;PULSE;ABARTH 270;F;7.2;10.5;8.8;12.2;D;C
HONDA;WR-V;EX;F;8.2;12.0;8.9;12.8;B;C
HONDA;WR-V;EXL;F;8.2;12.0;8.9;12.8;B;C
Hyundai;CRETA;Comfort;F;8.4;12.0;9.0;12.7;B;C
Hyundai;CRETA;Comfort Safety;F;8.4;12.0;9.0;12.7;B;C
Hyundai;CRETA;Limited;F;8.4;12.0;9.0;12.7;B;C
Hyundai;CRETA;Platinum;F;8.4;12.0;9.0;12.7;B;C
Hyundai;CRETA;N Line;F;8.4;12.0;9.0;12.7;B;C
Hyundai;CRETA;Ultimate;F;8.3;11.8;9.1;13.4;B;C
Hyundai;CRETA;N-line;F;8.2;11.7;9.4;13.8;B;C
JEEP;AVENGER;LIMITED HYB;F;8.8;12.7;9.4;13.5;A;C
JEEP;AVENGER;ALTIT HYB;F;8.8;12.7;9.4;13.5;A;C
JEEP;AVENGER;LONGT HYB;F;8.8;12.7;9.4;13.5;A;C
JEEP;RENEGADE;ALTIT HYB;F;8.3;11.9;8.6;11.8;C;C
JEEP;RENEGADE;ALTIT T270;F;7.8;11.1;8.9;12.4;C;C
JEEP;RENEGADE;ALTIT T270 (MY27);F;7.6;10.9;8.6;12.0;D;C
JEEP;RENEGADE;LGTD T270;F;7.8;11.1;8.9;12.4;C;C
JEEP;RENEGADE;LONGIT HYB;F;8.3;11.9;8.6;11.8;C;C
JEEP;RENEGADE;SAHARA;F;7.8;11.1;8.9;12.4;C;C
JEEP;RENEGADE;SAHARA HYB;F;8.3;11.9;8.6;11.8;C;C
JEEP;RENEGADE;SPORT FLEX (MY27);F;7.6;10.9;8.6;12.0;D;C
JEEP;RENEGADE;SPORT T270 (MY27);F;7.6;10.9;8.6;12.0;D;C
JEEP;RENEGADE;SPT T FLEX;F;7.8;11.1;8.9;12.4;C;C
JEEP;RENEGADE;SPT TURBO;F;7.8;11.1;8.9;12.4;C;C
NISSAN;Kicks;SENSE AT;F;8.3;11.7;9.9;14.3;B;C
NISSAN;Kicks;ADVANCE AT;F;8.3;11.7;9.9;14.3;B;C
NISSAN;Kicks;EXCLUSIV AT;F;8.3;11.7;9.9;14.3;B;C
NISSAN;Kicks;PLATINUM AT;F;8.3;11.7;9.9;14.3;B;C
NISSAN;Kait;SENSE;F;7.8;11.3;9.4;13.7;C;C
NISSAN;Kait;ADVANCE;F;7.8;11.3;9.4;13.7;C;C
NISSAN;Kait;ACTIVE CVT;F;7.8;11.3;9.4;13.7;C;C
NISSAN;Kait;ADV B CVT;F;7.8;11.3;9.4;13.7;C;C
PEUGEOT;2008;ACT T200;F;8.5;12.0;9.8;14.1;A;C
PEUGEOT;2008;ALLU T200;F;8.5;12.0;9.8;14.1;A;C
PEUGEOT;2008;GT T200;F;8.5;12.0;9.8;14.1;A;C
PEUGEOT;2008;GT HYBRID;F;9.0;13.0;9.6;13.7;A;C
Renault;KWID;ZEN 2;F;10.4;14.4;10.7;15.4;A;B
Renault;KWID;INTENSE 2;F;10.4;14.4;10.7;15.4;A;B
Renault;KWID;OUTSIDER 2;F;10.4;14.4;10.7;15.4;A;B
Renault;KWID;INTENSE BITON;F;10.4;14.4;10.7;15.4;A;B
Renault;KWID;ICONIC 2;F;10.4;14.4;10.7;15.4;A;B
Renault;KWID;LIFE 2;F;10.4;14.4;10.7;15.4;A;B
Renault;KARDIAN;TECH AT;F;8.8;12.8;9.7;13.9;A;C
Renault;KARDIAN;ICO AT;F;8.8;12.2;9.8;13.8;A;C
Renault;KARDIAN;10T AT;F;8.8;12.2;9.8;13.8;A;C
Renault;KARDIAN;EVO AT;F;8.8;12.7;10.2;14.7;A;C
Renault;KARDIAN;EVO MT;F;8.8;12.7;10.2;14.7;A;C
TOYOTA;YARIS CROSS FLEX;XR FLEX;F;8.8;12.6;10.2;14.3;A;C
TOYOTA;YARIS CROSS FLEX;XRE FLEX;F;8.8;12.6;10.2;14.3;A;C
TOYOTA;YARIS CROSS FLEX;XRX FLEX;F;8.8;12.6;10.2;14.3;A;C
TOYOTA;YARIS CROSS;XRX-HYBRID;F;13.2;17.9;10.7;15.3;A;B
TOYOTA;YARIS CROSS;XRE-HYBRID;F;13.2;17.9;10.7;15.3;A;B
VW;T CROSS;HIGHLINE 250TSI;F;8.2;11.8;9.9;14.2;B;C
VW;T CROSS;COMA AFU UOT TRO OTM MLÁIANT TEI I C C 2O O00TSI;F;8.5;12.1;10.2;14.5;A;C
VW;T CROSS;COMAFUOTROTMLIANTEIC 2O00TSI;F;8.7;12.5;10.2;14.3;A;C
VW;T CROSS;200TSI AUTOMATICO;F;8.5;12.1;10.2;14.5;A;C
VW;T CROSS;200TSI AUTOMATICO;F;8.7;12.5;10.2;14.3;A;C
VW;T CROSS;SENSE 200TSI AUTOMATICO;F;8.5;12.1;10.2;14.5;A;C
VW;T CROSS;SENSE 200TSI AUTOMATICO;F;8.9;12.9;10.4;14.9;A;C
VW;NIVUS;HIGHLINE 200TSI;F;8.6;12.4;10.3;14.8;A;C
VW;NIVUS;COMAFUOTROTMLÁINTEIC 2O00TSI;F;8.6;12.4;10.3;14.8;A;C
VW;T CROSS;EXATURTEOMMEÁ T25IC0OTSI;F;8.2;11.8;9.9;14.2;B;C
VW;NIVUS;GTS 1A.4UTTSOI AMUÁTTOICMOÁTICO;F;8.1;11.6;9.9;14.2;B;C
VW;TERA;COMFORT TSI;F;8.6;12.2;10.3;14.5;A;C
VW;TERA;HIGH TSI;F;8.6;12.2;10.3;14.5;A;C
VW;TERA;TSI;F;9.0;12.9;10.3;15.0;A;C
CAOA CHANGAN;Uni-T;INFINITY (LEV4);F;7.1;10.5;8.6;12.4;C;C
CAOA CHERY;TIGGO 7;PRO HA;F;7.8;11.1;8.3;11.6;B;C
CAOA CHERY;TIGGO 7;SPORT;F;6.7;10.4;8.6;12.6;C;C
GWM;HAVAL H6;PHEV19 FF;F;10.0;14.7;8.9;12.9;A;A
GWM;HAVAL H6;PHEV35 FF;F;9.2;12.5;7.4;10.7;A;A
GWM;HAVAL H6;GT FF;F;9.2;12.5;7.4;10.7;A;A
GWM;HAVAL H6;HEV1 FLEX;F;10.2;15.8;9.0;13.0;A;B
GWM;HAVAL H6;HEV2 FLEX;F;10.2;15.8;9.0;13.0;A;B
JEEP;COMMANDER;LIM 7 270;F;6.9;10.0;8.3;11.5;D;C
JEEP;COMMANDER;LON 7 270;F;6.9;10.0;8.3;11.5;D;C
JEEP;COMMANDER;OVE 7 270;F;6.9;10.0;8.3;11.5;D;C
JEEP;COMMANDER;LMTD HYB;F;7.6;11.0;8.1;11.2;C;C
JEEP;COMMANDER;OVER HYB;F;7.6;11.0;8.1;11.2;C;C
JEEP;COMPASS;LIMITED T;F;7.3;10.1;8.6;12.1;C;C
JEEP;COMPASS;LONGITUDE T;F;7.3;10.1;8.6;12.1;C;C
JEEP;COMPASS;SERIE S T;F;7.3;10.1;8.6;12.1;C;C
JEEP;COMPASS;SPORT T;F;7.3;10.1;8.6;12.1;C;C
Renault;DUSTER;DUSTER ICO16 CVT;F;7.5;10.8;8.3;11.4;C;C
Renault;DUSTER;DUSTER ICOP CVT;F;7.5;10.8;8.3;11.4;C;C
Renault;DUSTER;DUSTERINT16 CVT;F;7.5;10.8;8.3;11.4;C;C
Renault;DUSTER;DUSTER INTP CVT;F;7.5;10.8;8.3;11.4;C;C
Renault;DUSTER;DUSTER LIF16 CVT;F;7.5;10.8;8.3;11.4;C;C
Renault;DUSTER;DUSTER ZEN16 CVT;F;7.5;10.8;8.3;11.4;C;C
Renault;DUSTER;DUSTER INT 16;F;7.6;11.2;8.4;12.3;B;C
Renault;DUSTER;DUSTER INTP MT;F;7.6;11.2;8.4;12.3;B;C
Renault;DUSTER;DUSTER ZEN 16;F;7.6;11.2;8.4;12.3;B;C
Renault;DUSTER;DUSTER ICO TCE;F;7.5;10.9;8.6;12.3;B;C
Renault;DUSTER;DUSTER ICOUT TCE;F;7.5;10.9;8.6;12.3;B;C
Renault;DUSTER;DUSTER ZEN13TCE;F;7.5;10.9;8.6;12.3;B;C
Renault;BOREAL;EVO;F;7.8;11.2;9.4;13.6;A;C
Renault;BOREAL;TECH;F;7.8;11.2;9.4;13.6;A;C
Renault;BOREAL;ICO;F;7.8;11.2;9.4;13.6;A;C
VW;TAOS;HIAGUHTLOINMEÁ 2T5IC0TOSI;F;7.7;11.1;9.3;13.3;A;C
VW;TAOS;COMAFUOTROTMLÁINTEIC 2O50TSI;F;7.7;11.1;9.3;13.3;A;C
JEEP;RENEGADE;WILLYS 4x4;F;6.3;9.2;7.4;10.1;D;D
JEEP;RENEGADE;WILLYS 4X4T (MY27);F;6.3;9.1;7.3;9.7;D;D
GWM;TANK 300;PHEV FLEX;F;5.4;7.5;5.7;7.6;A;B
JEEP;COMMANDER;BLK GME (MY27);F;5.7;8.2;7.4;10.6;C;D
JEEP;COMPASS;BLACKHAWK F;F;6.0;8.5;7.6;11.0;B;D
LAND ROVER;EVOQUE;P250FF AB;F;5.1;7.4;6.6;9.4;D;E
