origin_id;origin_hospital;origin_bairro;origin_latitude;origin_longitude;destination_id;destination_hospital;destination_bairro;destination_latitude;destination_longitude;distance_meters;distance_km;duration_seconds;duration_minutes;status;error_message
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;0;0.0;0;0.0;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;14160;14.16;1481;24.7;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;-23.6911689;-46.7517858;20920;20.92;1768;29.47;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;4;INSTITUTO DE INFECTOLOGIA EMILIO RIBAS;SUMARE;-23.5470783;-46.6812257;3140;3.14;350;5.84;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;5;HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;IBIRAPUERA;-23.5966175;-46.6539691;6270;6.27;650;10.83;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;6;HOSPITAL MATERNIDADE INTERLAGOS;JD LEBLON;-23.7069613;-46.7021968;22210;22.21;1903;31.72;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;7;HOSPITAL GERAL DE PEDREIRA;VILA CAMPO GRANDE;-23.6808407;-46.6783317;18030;18.03;1843;30.72;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;8;HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I;V HELIOPOLIS;-23.607115;-46.595253;11740;11.74;1260;21.0;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;10;HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO;JARDIM GUEDALA;-23.5929419;-46.7109151;7640;7.64;867;14.45;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;11;HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI;VILA ANTONIO;-23.5777487;-46.764842;14160;14.16;1207;20.13;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;12;HOSPITAL UNIVERSITARIO DA USP SAO PAULO;BUTANTA;-23.5649058;-46.7409515;10760;10.76;1311;21.87;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;13;CAISM PHILIPPE PINEL SAO PAULO;PIRITUBA;-23.4869816;-46.7239346;15050;15.05;1518;25.3;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;14;HOSPITAL GERAL HENRIQUE ALTIMEYER DE VILA ALPINA;VILA ALPINA;-23.5930526;-46.5607618;13320;13.32;1446;24.11;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;16;HOSPITAL GERAL DE SAO MATEUS SAO PAULO;SAO MATEUS;-23.5947358;-46.4867109;26120;26.12;2176;36.28;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;17;UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP;IPIRANGA;-23.584203;-46.6116295;8070;8.07;971;16.19;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;18;CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO;SANTANA;-23.4849783;-46.6314355;11660;11.66;1303;21.73;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;19;HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO;ITAIM PAULISTA;-23.4924231;-46.3889814;38740;38.74;2459;40.99;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;20;HOSP MUN PROF DR WALDOMIRO DE PAULA;ITAQUERA;-23.5321357;-46.4472128;35980;35.98;2402;40.04;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;21;HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP;PARQUE DAS NACOES;-23.691152;-46.5848155;22310;22.31;1995;33.25;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;22;HOSPITAL E MATERNIDADE LEONOR MENDES DE BARROS SAO PAULO;BELENZINHO;-23.5359031;-46.5887061;9860;9.86;1136;18.95;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;23;CENTRO DE REFERENCIA E TREINAMENTO DST AIDS SAO PAULO;VILA MARIANA;-23.5966194;-46.6358133;6010;6.01;726;12.1;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;24;HOSPITAL MILITAR DE AREA DE SAO PAULO;CAMBUCI;-23.5696701;-46.6134492;6300;6.3;808;13.47;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;25;CENTRO DE REFERENCIA DA SAUDE DA MULHER;CAMPOS ELISEOS;-23.5343002;-46.6437496;3940;3.94;493;8.23;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;26;HOSP MUN INFANTIL MENINO JESUS;BELA VISTA;-23.56022;-46.6469982;3050;3.05;367;6.12;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;28;HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA;VILA NOVA CACHOEIRIN;-23.4802096;-46.6709709;12090;12.09;1322;22.04;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;29;HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO;JARDIM SAO PAULO;-23.5523813;-46.4053829;43920;43.92;2980;49.68;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;30;HOSP MUN DR CARMINO CARICCHIO;TATUAPE;-23.5329502;-46.5664411;13940;13.94;1339;22.32;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;31;HOSP MUN TIDE SETUBAL;SAO MIGUEL PAULISTA;-23.4973179;-46.439865;32150;32.15;2145;35.76;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;32;HOSP MUN V NHOCUNE ALEXANDRE ZAIO;VILA NHOCUNE;-23.5424212;-46.5015398;18490;18.49;1945;32.43;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;33;HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA;JABAQUARA;-23.6533422;-46.6456764;13460;13.46;1422;23.71;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;34;HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO;PARADA DE TAIPAS;-23.4436996;-46.7177512;18620;18.62;1774;29.58;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;35;HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO;VILA PARANAGUA;-23.499644;-46.4729162;24690;24.69;2193;36.55;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;36;HOSPITAL MUNICIPAL DR BENEDITO MONTENEGRO;JARDIM IVA;-23.5875541;-46.5145716;17690;17.69;1907;31.79;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;37;HOSP MUN IGNACIO PROENCA DE GOUVEA;PARQUE DA MOOCA;-23.5717374;-46.590166;9620;9.62;1072;17.88;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;38;HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO;AGUA RASA;-23.551918;-46.5852143;8850;8.85;1027;17.13;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;40;HOSPITAL REGIONAL SUL SAO PAULO;SANTO AMARO;-23.6555597;-46.7058596;16780;16.78;1449;24.15;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;42;HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO;JARDIM SAPOPEMBA;-23.611336;-46.493671;21900;21.9;2198;36.64;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;43;HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO;JARDIM IRACEMA;-23.4934229;-46.7008274;12660;12.66;1246;20.78;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;46;HOSP DO SERV PUB MUNICIPAL HSPM;LIBERDADE;-23.5673424;-46.639071;4540;4.54;569;9.5;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;47;HOSP MUN FERNANDO MAURO PIRES DA ROCHA;CAMPO LIMPO;-23.6490957;-46.7490028;15900;15.9;1313;21.89;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;48;CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO;CARANDIRU;-23.5085713;-46.6201015;8740;8.74;1031;17.18;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;49;HOSP MUN VER JOSE STOROPOLLI;PARQUE NOVO MUNDO;-23.522085;-46.5617446;16410;16.41;1402;23.37;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;50;CENTRO MEDICO PMESP;TREMEMBE;-23.4690239;-46.6188727;13790;13.79;1594;26.58;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;51;HOSP MUN CARMEN PRUDENTE;CIDADE TIRADENTES;-23.5833632;-46.4092773;35140;35.14;3035;50.6;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;53;INSTITUTO DE REABILITACAO LUCY MONTORO;VILA ANDRADE;-23.6322694;-46.7351129;13720;13.72;1178;19.64;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;55;INSTITUTO DO CANCER DO ESTADO DE SAO PAULO;CERQUEIRA CESAR;-23.5561305;-46.6681716;2860;2.86;334;5.57;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;56;HOSP MUN SOROCABANA;VILA ROMANA;-23.5238763;-46.7013591;8109;8.11;875;14.58;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;57;HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO;VILA MASCOTE;-23.6470652;-46.662824;13310;13.31;1343;22.4;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;58;HOSP MUN CAPELA DO SOCORRO;JARDIM DAS IMBUIAS;-23.7296842;-46.7129995;25660;25.66;2322;38.7;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;59;HOSP MUN JOSANIAS CASTANHA BRAGA;JARDIM ROSCHEL;-23.8247733;-46.7266429;38730;38.73;3191;53.2;ok;
1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;233;HOSP MUN SOROCABANA;ALTO DE PINHEIROS;-23.5375934;-46.7227993;9240;9.24;1009;16.82;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;1;HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES;CONSOLACAO;-23.5573928;-46.6562429;14180;14.18;1515;25.25;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;0;0.0;0;0.0;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;-23.6911689;-46.7517858;35680;35.68;2425;40.43;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;4;INSTITUTO DE INFECTOLOGIA EMILIO RIBAS;SUMARE;-23.5470783;-46.6812257;10870;10.87;1097;18.29;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;5;HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;IBIRAPUERA;-23.5966175;-46.6539691;17980;17.98;1826;30.45;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;6;HOSPITAL MATERNIDADE INTERLAGOS;JD LEBLON;-23.7069613;-46.7021968;36980;36.98;2561;42.68;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;7;HOSPITAL GERAL DE PEDREIRA;VILA CAMPO GRANDE;-23.6808407;-46.6783317;35970;35.97;2521;42.02;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;8;HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I;V HELIOPOLIS;-23.607115;-46.595253;23220;23.22;2104;35.07;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;10;HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO;JARDIM GUEDALA;-23.5929419;-46.7109151;22660;22.66;1649;27.49;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;11;HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI;VILA ANTONIO;-23.5777487;-46.764842;18980;18.98;1562;26.03;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;-23.476544;-46.6980006;12;HOSPITAL UNIVERSITARIO DA USP SAO PAULO;BUTANTA;-23.5649058;-46.7409515;17050;17.05;1462;24.37;ok;
